timestamp,transfer_mbytesec,bandwidth_gbitsec,retr,cwnd_kbytes
2018-08-15 19:35:11+00:00,375,3.14,273,471
2018-08-15 19:35:12+00:00,428,3.59,145,376
2018-08-15 19:35:13+00:00,360,3.02,148,454
2018-08-15 19:35:14+00:00,339,2.84,83,407
2018-08-15 19:35:15+00:00,305,2.56,104,414
2018-08-15 19:35:16+00:00,301,2.53,186,440
2018-08-15 19:35:17+00:00,325,2.73,174,485
2018-08-15 19:35:18+00:00,434,3.64,81,677
2018-08-15 19:35:19+00:00,412,3.46,226,537
2018-08-15 19:35:20+00:00,409,3.43,47,372
2018-08-15 19:35:21+00:00,523,3.81,96,422
